plagiated_file,abstract_result,intro_result,conclusion_result
PMC13901_plagiated_multiplagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.2857142857142857, 'confidence': 0.8755846619606018}","{'support': 0, 'confidence': 0}"
PMC13902_plagiated_multiplagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.25, 'confidence': 0.7460111081600189}","{'support': 0.5, 'confidence': 0.9087085127830505}"
PMC13913_plagiated_multiplagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.35714285714285715, 'confidence': 0.7782493352890014}","{'support': 0.6666666666666666, 'confidence': 0.9103182500058954}"
PMC15015_plagiated_multiplagiated.xml,"{'support': 1.0, 'confidence': 0.999200165271759}","{'support': 0.32, 'confidence': 0.9034171923995018}","{'support': 0.2, 'confidence': 0.9489320814609528}"
PMC15023_plagiated_multiplagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.3, 'confidence': 0.9186400175094604}","{'support': 0.6666666666666666, 'confidence': 0.9590518474578857}"
PMC15024_plagiated_multiplagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.29411764705882354, 'confidence': 0.7940256357192993}","{'support': 0.3333333333333333, 'confidence': 0.5419094562530518}"
PMC15025_plagiated_multiplagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.375, 'confidence': 0.7812249726719327}","{'support': 0.3333333333333333, 'confidence': 0.7270808219909668}"
PMC15027_plagiated_multiplagiated.xml,"{'support': 1.0, 'confidence': 0.6977247297763824}","{'support': 0.2222222222222222, 'confidence': 0.8006231784820557}","{'support': 0.5, 'confidence': 0.6147106289863586}"
PMC15028_plagiated_multiplagiated.xml,"{'support': 1.0, 'confidence': 0.9987214207649231}","{'support': 0.16666666666666666, 'confidence': 0.9994422793388367}","{'support': 0.4, 'confidence': 0.8070378303527832}"
PMC16139_plagiated_multiplagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.3333333333333333, 'confidence': 0.8252136945724488}","{'support': 0, 'confidence': 0}"
PMC16145_plagiated_multiplagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.35714285714285715, 'confidence': 0.900283420085907}","{'support': 0.2, 'confidence': 0.7608689665794373}"
PMC17599_plagiated_multiplagiated.xml,"{'support': 1.0, 'confidence': 0.9874885082244873}","{'support': 0.5483870967741935, 'confidence': 0.8308227377779344}","{'support': 0, 'confidence': 0}"
PMC17803_plagiated_multiplagiated.xml,"{'support': 0.375, 'confidence': 0.8681297302246094}","{'support': 0.375, 'confidence': 0.9002840121587118}","{'support': 0.6666666666666666, 'confidence': 0.8431408107280731}"
PMC25775_plagiated_multiplagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.3076923076923077, 'confidence': 0.9105077162384987}","{'support': 0.16666666666666666, 'confidence': 0.9383851289749146}"
PMC28987_plagiated_multiplagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.3333333333333333, 'confidence': 0.7896374464035034}","{'support': 0.6666666666666666, 'confidence': 0.9590518474578857}"
