plagiated_file,abstract_result,intro_result,conclusion_result
PMC13901_plagiated.xml,"{'support': 0.5, 'confidence': 0.7396105229854584}","{'support': 0.625, 'confidence': 0.9117740750312805}","{'support': 0.5, 'confidence': 0.7395186424255371}"
PMC13902_plagiated.xml,"{'support': 0.5, 'confidence': 0.8390997648239136}","{'support': 0.4782608695652174, 'confidence': 0.8427931395444003}","{'support': 0.3333333333333333, 'confidence': 0.9677969217300415}"
PMC13913_plagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.75, 'confidence': 0.9239720106124878}","{'support': 0.8333333333333334, 'confidence': 0.7902375102043152}"
PMC15015_plagiated.xml,"{'support': 1.0, 'confidence': 0.999200165271759}","{'support': 0.42857142857142855, 'confidence': 0.8227034144931369}","{'support': 0.3333333333333333, 'confidence': 0.8617539803187052}"
PMC15023_plagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.6470588235294118, 'confidence': 0.906081264669245}","{'support': 0.2, 'confidence': 0.5278733372688293}"
PMC15024_plagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.6363636363636364, 'confidence': 0.9867103270121983}","{'support': 0.5, 'confidence': 0.8722308874130249}"
PMC15025_plagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.6666666666666666, 'confidence': 0.9689878125985464}","{'support': 0, 'confidence': 0}"
PMC15027_plagiated.xml,"{'support': 0.5, 'confidence': 0.9466801881790161}","{'support': 0.5454545454545454, 'confidence': 0.9563201069831848}","{'support': 0.5, 'confidence': 0.8675107955932617}"
PMC15028_plagiated.xml,"{'support': 1.0, 'confidence': 0.9987214207649231}","{'support': 0.8461538461538461, 'confidence': 0.8436434106393293}","{'support': 0.5, 'confidence': 0.7675421684980392}"
PMC16139_plagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 1.0, 'confidence': 0.8924312174320221}","{'support': 0.3333333333333333, 'confidence': 0.9822871088981628}"
PMC16145_plagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.35714285714285715, 'confidence': 0.9133715391159057}","{'support': 0.25, 'confidence': 0.738746702671051}"
PMC17599_plagiated.xml,"{'support': 1.0, 'confidence': 0.9874885082244873}","{'support': 0.47058823529411764, 'confidence': 0.8617120981216431}","{'support': 0.4, 'confidence': 0.9230591654777527}"
PMC17803_plagiated.xml,"{'support': 1.0, 'confidence': 0.9280081987380981}","{'support': 0.2857142857142857, 'confidence': 0.7744628489017487}","{'support': 0.4, 'confidence': 0.692953884601593}"
PMC25775_plagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 0.5454545454545454, 'confidence': 0.958645631869634}","{'support': 0, 'confidence': 0}"
PMC28987_plagiated.xml,"{'support': 0, 'confidence': 0}","{'support': 1.0, 'confidence': 0.9155571162700653}","{'support': 0, 'confidence': 0}"
