plagiated_file,abstract_result,intro_result,conclusion_result
PMC13901.xml,"{'support': 0, 'confidence': 0}","{'support': 0.4444444444444444, 'confidence': 0.7924074530601501}","{'support': 0.5, 'confidence': 0.8838078081607819}"
PMC13902.xml,"{'support': 0.5, 'confidence': 0.8398689925670624}","{'support': 0.4479166666666667, 'confidence': 0.8190737200337787}","{'support': 0.25, 'confidence': 0.906144380569458}"
PMC13913.xml,"{'support': 0, 'confidence': 0}","{'support': 0.5714285714285714, 'confidence': 0.7223468124866486}","{'support': 0.42857142857142855, 'confidence': 0.8159972230593363}"
PMC15015.xml,"{'support': 0, 'confidence': 0}","{'support': 0.34210526315789475, 'confidence': 0.7943390470284682}","{'support': 0.23076923076923078, 'confidence': 0.8181917866071066}"
PMC15023.xml,"{'support': 0, 'confidence': 0}","{'support': 0.3125, 'confidence': 0.7559434413909912}","{'support': 0.14285714285714285, 'confidence': 0.606354296207428}"
PMC15024.xml,"{'support': 0.5, 'confidence': 0.8337873816490173}","{'support': 0.375, 'confidence': 0.7992172241210938}","{'support': 0.3333333333333333, 'confidence': 0.8066492080688477}"
PMC15025.xml,"{'support': 0.5, 'confidence': 0.7067520022392273}","{'support': 0.14285714285714285, 'confidence': 0.8288812637329102}","{'support': 0.2, 'confidence': 0.8457629084587097}"
PMC15027.xml,"{'support': 0, 'confidence': 0}","{'support': 0.27586206896551724, 'confidence': 0.8673727139830589}","{'support': 0.4, 'confidence': 0.7222127318382263}"
PMC15028.xml,"{'support': 1.0, 'confidence': 0.9380870163440704}","{'support': 0.47058823529411764, 'confidence': 0.8833237364888191}","{'support': 0.16666666666666666, 'confidence': 0.9314508736133575}"
PMC16139.xml,"{'support': 0, 'confidence': 0}","{'support': 0.4, 'confidence': 0.7967944145202637}","{'support': 0, 'confidence': 0}"
PMC16145.xml,"{'support': 0, 'confidence': 0}","{'support': 0.17857142857142858, 'confidence': 0.8143365979194641}","{'support': 0.23076923076923078, 'confidence': 0.8298806548118591}"
PMC17599.xml,"{'support': 0, 'confidence': 0}","{'support': 0.4583333333333333, 'confidence': 0.8088709332726218}","{'support': 0.3333333333333333, 'confidence': 0.8052758375803629}"
PMC17803.xml,"{'support': 0, 'confidence': 0}","{'support': 0, 'confidence': 0}","{'support': 0, 'confidence': 0}"
PMC25775.xml,"{'support': 0, 'confidence': 0}","{'support': 0.06896551724137931, 'confidence': 0.5674064457416534}","{'support': 0.25, 'confidence': 0.7359520196914673}"
PMC28987.xml,"{'support': 0, 'confidence': 0}","{'support': 0.1111111111111111, 'confidence': 0.6103729009628296}","{'support': 0, 'confidence': 0}"
PMC28992.xml,"{'support': 0.5, 'confidence': 0.893585205078125}","{'support': 0.5, 'confidence': 0.9332756996154785}","{'support': 0.4, 'confidence': 0.9437422752380371}"
PMC28994.xml,"{'support': 0, 'confidence': 0}","{'support': 0.5, 'confidence': 0.9004025906324387}","{'support': 0.25, 'confidence': 0.7576828002929688}"
PMC29004.xml,"{'support': 0.5, 'confidence': 0.7466123104095459}","{'support': 0.25, 'confidence': 0.8597617149353027}","{'support': 0.15384615384615385, 'confidence': 0.7828137576580048}"
PMC29012.xml,"{'support': 0, 'confidence': 0}","{'support': 0, 'confidence': 0}","{'support': 0, 'confidence': 0}"
PMC29014.xml,"{'support': 0, 'confidence': 0}","{'support': 0, 'confidence': 0}","{'support': 0, 'confidence': 0}"
PMC29016.xml,"{'support': 0, 'confidence': 0}","{'support': 0.125, 'confidence': 0.6112116873264313}","{'support': 0, 'confidence': 0}"
PMC29017.xml,"{'support': 0, 'confidence': 0}","{'support': 0, 'confidence': 0}","{'support': 0, 'confidence': 0}"
PMC29028.xml,"{'support': 0, 'confidence': 0}","{'support': 0.3333333333333333, 'confidence': 0.7905858159065247}","{'support': 0.3333333333333333, 'confidence': 0.8696985840797424}"
PMC29030.xml,"{'support': 0.5, 'confidence': 0.985158383846283}","{'support': 0, 'confidence': 0}","{'support': 0, 'confidence': 0}"
PMC29031.xml,"{'support': 0, 'confidence': 0}","{'support': 0.05, 'confidence': 0.5962687134742737}","{'support': 0.2, 'confidence': 0.693545937538147}"
PMC29044.xml,"{'support': 0, 'confidence': 0}","{'support': 0, 'confidence': 0}","{'support': 0.07692307692307693, 'confidence': 0.9247836470603943}"
